08 21 09:16:20.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:21.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:22.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:23.241 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:24.254 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:25.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:26.244 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:27.242 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:28.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:29.244 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:30.244 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:31.242 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:32.241 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:33.252 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:34.246 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:35.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:36.256 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:37.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:38.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:39.242 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:40.241 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:41.254 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:42.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:43.246 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:44.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:45.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:46.255 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:47.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:48.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:49.246 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:50.244 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:51.251 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:52.251 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:53.246 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:54.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:55.242 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:56.241 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:57.252 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:58.251 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:59.246 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:00.245 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:01.244 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:02.254 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:03.254 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:04.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:05.252 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:06.252 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:07.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:08.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:09.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:10.246 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:11.244 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:12.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:13.252 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:14.251 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:15.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:16.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:17.242 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:17:17.370 DEBUG 63124 aella::mysqld:185             : socket::writable...ConnectionPhaseInitialHandshake
08 21 09:17:17.370 TRACE 63124 aella::mysqld:349             : net_write::src: b"J\0\0\0\n8.0.43\0\x0b\0\0\0\xd3\x9d[\xf5\x12IS\x83\0\x08\xa2\x08\x02\0\x18\x01\x15\0\0\0\0\0\0\0\0\0\0\xd4\x82\xcfI\xf9\x0fq\xd6\x14\xea\xa1\xab\0mysql_native_password\0"
08 21 09:17:17.371 TRACE 63124 aella::mysqld:350             : net_write::src:vec: [74, 0, 0, 0, 10, 56, 46, 48, 46, 52, 51, 0, 11, 0, 0, 0, 211, 157, 91, 245, 18, 73, 83, 131, 0, 8, 162, 8, 2, 0, 24, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 130, 207, 73, 249, 15, 113, 214, 20, 234, 161, 171, 0, 109, 121, 115, 113, 108, 95, 110, 97, 116, 105, 118, 101, 95, 112, 97, 115, 115, 119, 111, 114, 100, 0]
08 21 09:17:17.372 DEBUG 63124 aella::mysqld:209             : socket::readable...ConnectionPhaseInitialHandshakeResponse
08 21 09:17:17.372 TRACE 63124 aella::mysqld:369             : net_read::buf:[198, 0, 0, 1, 5, 162, 56, 128, 112, 3, 0, 64, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 111, 111, 116, 0, 20, 228, 127, 49, 196, 216, 196, 30, 250, 58, 144, 206, 184, 233, 203, 209, 251, 208, 42, 255, 239, 109, 121, 115, 113, 108, 95, 110, 97, 116, 105, 118, 101, 95, 112, 97, 115, 115, 119, 111, 114, 100, 0, 117, 3, 95, 111, 115, 16, 100, 101, 98, 105, 97, 110, 45, 108, 105, 110, 117, 120, 45, 103, 110, 117, 12, 95, 99, 108, 105, 101, 110, 116, 95, 110, 97, 109, 101, 8, 108, 105, 98, 109, 121, 115, 113, 108, 4, 95, 112, 105, 100, 1, 49, 15, 95, 99, 108, 105, 101, 110, 116, 95, 118, 101, 114, 115, 105, 111, 110, 7, 49, 48, 46, 51, 46, 51, 57, 12, 95, 115, 101, 114, 118, 101, 114, 95, 104, 111, 115, 116, 12, 49, 55, 50, 46, 50, 52, 46, 50, 50, 52, 46, 49, 9, 95, 112, 108, 97, 116, 102, 111, 114, 109, 6, 120, 56, 54, 95, 54, 52]
08 21 09:17:17.373 TRACE 63124 aella::mysqld:349             : net_write::src: b"\x08\0\0\x02\0\0\0\x02\0\0\0\0"
08 21 09:17:17.374 TRACE 63124 aella::mysqld:350             : net_write::src:vec: [8, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0]
08 21 09:17:17.374 DEBUG 63124 aella::mysqld:238             : varify_pass: true
08 21 09:17:17.374 DEBUG 63124 aella::mysqld:209             : socket::readable...ConnectionPhaseAuthenticationResponse
08 21 09:17:17.375 DEBUG 63124 aella::mysqld:209             : socket::readable...ConnectionPhaseAuthenticationResponse
08 21 09:17:17.375 TRACE 63124 aella::mysqld:369             : net_read::buf:[24, 0, 0, 0, 3, 83, 69, 76, 69, 67, 84, 32, 85, 78, 73, 88, 95, 84, 73, 77, 69, 83, 84, 65, 77, 80, 40, 41]
